title,model,price,shipping,date_sold,days_ago,condition,url
NEW YVES SAINT LAUREN TIE - LUXURY VIBRANT BLACK SILK TIE Made In Italy,,£29.82,+£2.70 delivery,15 Feb 2026,17,New (other),https://www.ebay.co.uk/itm/235024069915?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SB4CMPP7DK90ZG5QV&hash=item36b886b51b:g:CO0AAOSwO4JkSWxo&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAhjZUSlHBuu6SKJVSeBeXBGftNlFEVinqzqeqBvZbcXKN%2BrbqTWpKbFwonYKpPuv%2B0Yh54Hpgr1eA1g%2Bl5CkgmVKgqZtbpTOj%2B%2BJooO2WQ6Nn7Evf5wr%2F%2BL35w0bVh4g5u26RKQMSpuohh%2FvvyJPE4W%2FJNaTEbHKp96pkQbbgEBjlQ%2BBmI15QAO375FQtLOkuMO%2Fb8%2BbH0DQ4Eyh3AO6NJjsiaaSb4xJ0XGm5Nf8nULhrkMpr42ov%2Fid4hXM44xvI%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Very Old Vintage Yves Saint Lauren Wallet Black Leather Gold Tone,Leather,£10.80,+£2.94 delivery,13 Feb 2026,19,Pre-owned,https://www.ebay.co.uk/itm/127354761121?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SM5Q67HBK1F6NRNRK&hash=item1da6ef6fa1:g:E-sAAeSwsFBou9s0&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBeK%2BfevznThW2J0EZxl%2FxOj%2BlG5%2F7n3rz0%2BEu6kkAzolirFNBZu8aK%2F45ARjc%2FWwztvbN3aDxy97D%2FjWAY53tD4ujRGjZ63oA1XJZO25544H8sxPnE3MlKDd1DWnt7RMQft1urlVeekeDUYPnt8ko%2F75SptLD3pZaYWKhp6DEEbiR5gtI6PKznSEHIJtnAfM5vgoSTDPOy23rKE%2FMBCbHUH9Z6CxdyWHPUGbvNDim6kX3ZQAr%2Fxi%2B0QwUqM7KGf78%3D%7Ctkp%3ABk9SR6DDuJ6XZw
"***VINTAGE*** YVES SAINT LAUREN MENS SWEATER*** Size L, 100% Cotton Light Blue",,£26.69,delivery in 2-3 days,11 Feb 2026,21,Pre-owned,https://www.ebay.co.uk/itm/147148893778?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45S0JGP2YWDJWS9CQRM&hash=item2242c1ee52:g:7AEAAeSwcEdpjJqF&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDhnANrpVtFIVbRbG9aqzti1RGOVcOcWJK1Kjy33bMSrpXNDOahkXAhQCONdzNrL0nIgQwAKsPVio1r3virHfCjgD2P6n6hhThlrl9lpa3OZaruJg5jFW4UOehw4OzCWpVakmNKfzym2W2HoRh4uCABqiasvqwWz4YGK6ZbGkg4fGzNWL9GIPHmq7VT9PMiI%2FWdOS9Mzh4%2F40QRcR8vRy95ZZ54ubTdDHKs%2BAq%2B17%2BuqvQscCq4BzFb%2BcgqtbuxjjM%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Yves Saint Lauren Mens Blouson Lightweight Jacket Blue/Night Size Large,,£21.50,+£5.15 delivery,11 Feb 2026,21,Pre-owned,https://www.ebay.co.uk/itm/287121539547?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45S56X0DWK36ERVYDEW&hash=item42d9c701db:g:sfsAAeSwDCxpehJp&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCamjEA15cZe%2FO0uJbTEVRNfd4%2BnnKbQkAMEGy%2Fpx2StBNn1C7Ir3lGtyR%2FtIMfZo1YN9Hrqm9n1lH1M0jxiI64f0iKpoAiVyjQ6sIC3STspY45kSjNrzOJwmRRiXn8bms9knnl6TkUUUhD3X7%2FT5JoLjffDfoazhNVoX%2BthwmA4N1uwsjtLIbPNTLlFIhh5N2ImtaceW7YfHK4eHMCOXaozI8R%2FMb1jJwKOkSeX%2FUrUKGFR2MtZlrTRxLk7dgFgaTktZEoQu5agHV5KcJIm4HX1am1GT8GKAqXa7rzfHSpmw%3D%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Yves Saint Laurent Vintage L/S Shirt Dark Grey Polycotton Size 16/40-41 Pit 24”,,£14.00,+£2.70 delivery,9 Feb 2026,23,Pre-owned,https://www.ebay.co.uk/itm/306060303855?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45S4BZAKWDTFCQ9NPW7&hash=item47429d9def:g:rh4AAOSwanZnksQy&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBZmVjpGnDrDeVPpMV7oCt1nKb5dyNvSpDk9oWl1EhCq4OkEvKaEve0j7mzMp70P10Gpy8N5PqcwJirBHNdeIplNAReF7WemMwkODhtKxykYKtK3pnMv%2FFmpIInqqQDNuy6oxocZXT2rXCXGVyT0be71R1MD%2Fxs5lN0queyQzVF%2BFwhWEXfefXGLVZpkPUjQKcNGMFUJHv6N0HedIDcebeMV942PuIZ74j2Vpk1TFueZWst7XBipcy4SR8W7%2F4d7%2BNqGGFbNuD75ow4PZOdl05THuYKzOT25e7uZF1yatLSpQ%3D%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Yves Saint Lauren (Pour Homme ) Men’s Black T Shirt Size L,,£4.11,+£2.70 delivery,30 Jan 2026,33,Pre-owned,https://www.ebay.co.uk/itm/168105735662?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SAESWHXHMEKPVCWXD&hash=item2723e1f5ee:g:taQAAeSw61Bpc92n&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBNfLk%2B8EoZBKI%2FQVcIz1A%2BK4BLbi485DfWbDmsjHYNSs8FuJNHcZ4LyB9hdPdle7%2FQqRV0H0To7ZGfCPZH4TD0dnBjDtMPV0QYn0WnSy3ExtAsFfF1pJMYP39iI27DRxJYBAVinadptvbK53q0D3xRaiVRFBvkuTjn4a27As%2BEASaMA8P2YMMjMrgG7Ip3D4epshUCnqa2WWF1vwRP4A1bmv%2B3qZq9q2Ked1qrA85vm%2FNy4010lcgQ2vd6YC30Org%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Men's Yves Saint Lauren polo top (N),,£15.00,+£6.49 delivery,22 Jan 2026,41,Pre-owned,https://www.ebay.co.uk/itm/376495107806?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SBE6R2XD7TBZPA19K&hash=item57a8db6ede:g:EAsAAeSwnYJopa2j&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAD4eW9kEIcoJ%2FPrGAHloqR42CLrJxoudmucFf9KCVbokmz%2Fb%2BDYYuxXV%2FTJPvltj7L895ZPB3hFAyJi66bfXmQRDBVp1pxGHoDVJRS%2BhtmdfuO%2BF86B5gGsRv1OGi80zgNBklBFzoTpRr0Iga7VqBfrYD7%2FdlPFb0uT0FtPPlVpeCk6GwUmzRimN1zk04sF4tPcG%2BfebUnQIdBe8FCpbLcOhrPH48AevaX93l%2BG9ktIGsJxmaVY3iMB6DcKUXjKNM%3D%7Ctkp%3ABk9SR6DDuJ6XZw
"Yves Saint Lauren / YSL Jumper Sweatshirt, Navy, Classic 90s Vintage, size Large",,£53.00,+£2.94 delivery,20 Jan 2026,43,Pre-owned,https://www.ebay.co.uk/itm/267529014603?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45SG6T8GSM2NRB2Z4BC&hash=item3e49f8cd4b:g:BkkAAeSwx6NpVHmt&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAs1%2Fyf2Qj027SlV9J39Js5GxqJf4IRIG%2BJMnsA3syNozZz2PMBg7jnDJjsk0fqgCTCHIpTMsdUPDlX%2FcAIv4vvCnE6sgDV8H1CgFSnBcC2BGaI1%2FedTzIpUqnq%2Fg1GHkIYsMps0oV%2FVeDm4LuV5DRst14lv7GMIRLnyB6uL9V1vJ5hLsG2OQzwpl6mLX%2FNztYJhQ%2ByHXMCi6mS6LMkAAsqDxEG895EeFIQT2Yv03b%2Fy7gI%2FuD41tCgszoa7sQ1fV4%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Yves Saint Lauren Crossbody Reversible Double Sided Bag Velvet & Leather,Leather,£78.99,Free delivery,19 Jan 2026,44,Pre-owned,https://www.ebay.co.uk/itm/177758676317?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45S5HAE775254JYFB3C&hash=item29633e255d:g:LSgAAeSwkthpYJzD&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCYOmRhii7BkZNXkxYLKuMlHzKLj73vIykBbUgFCU%2FkC3EHhDOzAUVFi2MHArBefYIVyX6AP%2FfONMvlMG4xmjV%2F0DpSe1i1O2wUiv5NpQhzO1nqMgzW9rlqUiue7INZq6sTNUG3SNwsKOSfIHdE%2BuYY29Kn7efchhWRGKMXUDUDijkIwubHwkfKicQodCTrz%2FoiaHBe25gqx%2FWSVEhtQj%2FIp3NZeLuuJcE8tx2%2B7QnJmEiBZlASH%2FJwebaKooSoeC5bSPp2NXK4SQIP8MVz8fDBvs7ZTLHVrac%2FxkO2jPrIjQ%3D%3D%7Ctkp%3ABk9SR6DDuJ6XZw
Yves Saint Lauren YSL Men's Shirt,,£7.00,+£2.96 delivery,19 Jan 2026,44,Pre-owned,https://www.ebay.co.uk/itm/136942042869?_skw=Yves+Saint+Lauren&itmmeta=01KJWYE45S4K09D5VXKFVTEGNS&hash=item1fe261bef5:g:W-IAAeSwh6NpZRnY&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAgPvM%2BBb8fdxoFrmZwPsJalScqch2fAeDfMY8rf0N0fSQGsYtVr%2BZHNqiupzQ0%2B%2Bx4%2BuaDNECm%2FMp4VOJzxC0YuDDHjMdeFdnPxYF1NDWNocn8IjkW4%2FIRhobatXtP5N7RmAep5VMMLKyPAB50T52AS496ZaU8qFWP%2B1FiINTIPJWFgaozEyOK3VviTzIpn5kSPEP39CWht5gPzI2duQVAHFliI1%2B19EkUq18iZwS3iHLilgoHSv295IxZyw5koNdDi3%2B39E0pGncvGQq6O2RClzLEcSwfjRGihdJF6YCdwA%3D%3D%7Ctkp%3ABk9SR6DDuJ6XZw
