title,price,condition,date_sold,url
GORILLAZ - The Mountain - Deluxe gatefold CD + Sticker sheet - New,20.43,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/257387803313?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6AQ310CYQJYZS5DVFN&hash=item3bed8232b1:g:fJMAAeSwVE9ppbV4&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAQ0a9cHXIXNqpl2jb68EMhmthEXk5sRXi%2FpckpROAxBz1ny96nZw6T4qCWb6tyuSn0IwY59gVmlDAoDz4HHnb6QbTTc7NAn7DuZmV10WoosIdIIDH31pjzTzjx%2B2Sp4dKX%2FdccUmu2bIJSlt%2BpnRLT8z%2BRY4ONdHQOHnp9JGCwf97aGgCfolaAm84mf5WalsUzIH2lymemUT7j67JHuguk9oRS407lNVfkMesqIxMeAyEM04hYxSQbbhFBYjdaFYQ%2B1ezN%2BeCJn95iHUE2RLyqRAufx518QUd%2FwV3o4L84IQ%3D%3D%7Ctkp%3ABk9SR_ijwbaaZw
Stone Hippopotamus Soap Dish,16.10,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/236671781342?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6AZE6FB2VP2Y5N6HY0&hash=item371abcc9de:g:y1QAAeSw3FNpqpbp&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDlHMeHbZSG12vMZ%2FlajSWWc4oowMHgfwtR7GzvCRXSppNtbozACbcOJvjDn0SC%2ByYozy28ILrujkNSU2s%2FFihJjN59gLqL05gRnfGUkO3NxNW0CWlAf3W6SinvSnBpFot4xdawImEHaD%2FkxBHZSq00PbazTGbaqzhLhzogCrx77v46GXqGKcQmAh%2BTDOVsxbBtueTKK5sy0XdZWEJffo6eRBuhNoTnjvKMv7XhhQkWKIGCOZtYRZjzhyLqA2HFyyw%3D%7Ctkp%3ABk9SR_ijwbaaZw
Van Halen – Ain't No Love In The City Florida Broadcast 1995 new sealed,17.22,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/365944559955?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6AZP0NSEJH6MK3AP3A&hash=item5533fed953:g:-rIAAOSwGyBl3kfq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCn96PKsDU2an%2BrM3BIAs%2FIDPTn6MLZkP9dGVMuGNDUvehDdgmfffJBkspUfdoMM0djEKkh4Wrsovpz0r3UudEoRAqxVxLVwnffM7Iy5dw54Hqw7cWiHAP09PVN3mn1jqVk4stUg9K0wxUooWR9BHuUY1SMk8bReH3dEEuwfJhEn9gDHojeafq6UCd0NL1oVVM%2BOZ9VGYY0Sd%2FrDvRog2e1FW2WgLCbrFI2Wq%2FaVTondb0QpST0XRCj5S83JPQ76Ec%3D%7Ctkp%3ABk9SR_ijwbaaZw
AC/DC : Johnson City 1988: The Tennessee Broadcast VINYL Album (Clear new sealed,17.22,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/366000653546?_skw=New+Rock+Shoes&epid=6056131947&itmmeta=01KK9PGA6AFZJ6549E6SQPE5P3&hash=item553756c4ea:g:~qYAAeSwEiVpHUsn&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAclR9eUkntwWtz5jCJxwiSXtoM1%2FPyEzwOLcHEx9d59lmrMN2KNsHR7XQvnX25OfMrWou08RGCar9eHcDthvxx2Yhs0gHxLX7vBPVk%2FJtXugOUvgu52DbkGwnuZWV6gmD3vdpImZ%2BnWzS0h5JxCcqi%2ByOYBkylvGFPJL%2FjdlqBM%2BECjVKGp0%2FqetBnOLGCFiHHPMSlGWMWc9pOwrOv%2FRap26H8s5br77J7950xgjtADayZD5x5LQI8AnRpj82w0gI%3D%7Ctkp%3ABk9SR_ijwbaaZw
Mens Leather Boots Desert Boots Size 13 Size 14 Size 15 Real Suede Leather Stone,34.99,Brand new ·,Sold 20 Dec 2024,https://www.ebay.co.uk/itm/116398547228?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6AXT42NQSTBVXP1QTE&hash=item1b19e4e11c:g:amAAAOSwc1hnPvgO&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAkSSzvSbinoC1XE%2BY3gq730%2BMMBo42XDOxg5bHzNwu9hx58Dbl7TbiVAK3XEIajwGezmO7AkIMHViEjSB66Lg%2BPYexfrmWUT9wRfTl56uNzLzv1b8mT0uDvGrhy%2FR81%2BkyB%2Fx7o9efXBQ%2F1dDc2gHt3FX4I1Q448QQf0LBH2MfNIIyktDRioFVnjN7ysAoAtq%2B%2Baj9TgzmALX--WyI%2FO7GcOp0SM7dO0ION9BskH4Qbvsq88Js9QYxTQn%2FzLkfLpRct2lzB4iQLq05SjfA%2BuVhze4LjJvtZw0%2FRDps4EBu%2FA%3D%3D%7Ctkp%3ABk9SR_qjwbaaZw
LUSH ~ Lovelife ~ 2023 UK REMASTERED 4AD record label 12-track vinyl LP ~ NEW,24.99,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/296353879882?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6AEC99RB874QTASMRG&hash=item450011574a:g:iJUAAOSwpylmFUt5&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCDKvi3Uz2eyLiCaPp1olQpmPTbnqUxq%2Bhn6U38mBdwb2YPPsyNZd8Tin4yRSk3S%2BUCqypeEHjdOJaKbUjtlMjFuocnQt%2Bl4iwF2sJJMhcImE5f8J2IpJ3tW0%2Fzz03aiGK4ikPa%2FK4539JWUolySFauhtcleChNcbJJVvrp6mIuKR6EJt1YVAcVKwqRLJnUPj1b1kElZfQMRqpJQ2RsczCvj68y5ieXYO%2FXw10qEWYy2zEMVzNQMmCvePSdkNZ2AY0%3D%7Ctkp%3ABk9SR_qjwbaaZw
Schleich Battlecave Stone Chameleon 42677 -FREE POST -Tracked 24 available -,26.99,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/236588981079?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6ADNRCW3PJ1YXY505B&hash=item3715cd5b57:g:wSAAAeSwgNJpbSp3&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB7ThfMtJ%2BLjKJoTcPBqg8mprnUjAzZDE%2BP09oXLrLGPraqiLhcJepFWUWOhCTgNXoO6kgC3lvv%2BwGYek0b71bh6kTrStiDsbwomdZzugtudbTIzrWvazObVxDsOC8V%2FKE9mYk1DiF9JS5grC21rp9gQha44OVkKu56rlCAlhkuNGY2zTW5h5eLpjrxwJh2veZn7nt40aplX9GwZtWBQREl5WcEVm%2Fx13MEfu0tr1YdzXzRWIcHZhENZ%2Bips6RSeslyd6bgyTv8wpKqIY%2FWyekdNoRhmzJbMqNAiy7fB6WIZQ%3D%3D%7Ctkp%3ABk9SR_qjwbaaZw
Eight Fairies Soapstone &Sou Shan Stone Chess Set with Board &Original Box,21.50,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/327025815221?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6A4CEMADPJCFS2QSNR&hash=item4c2441eeb5:g:iuwAAeSwiP9pmIQp&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDDfo0lkpwZrzrh3znHR8COcUZW%2FP0PEGvhHkeKinU%2FyVzz7hGn6rknys2IUyhLiu9dcua9fZXPJGqXDB8AJCy%2BAxXSfQGGIcRFt3IxFYd23wWlXqFEYmMHsJ8yG5DscMHqXAfGvrWyk5g06SPiAc6kaic96KHoEPdedfei9PRQOY8epSbIOSc9sCKD1%2BsQmm%2BGGrwLzUF%2BKGVr0MMjHl%2BMI%2BELVGX6V7cp37VoCpz5tJT50ZX2EvRT0iG8AVDmQ5McwqGDa6xc1JST8EeTdDA4naMXv38FmN%2FL5ydYhYTREA%3D%3D%7Ctkp%3ABk9SR_qjwbaaZw
"The Wynntown Marshals : Big Ideas CD (2022) ***NEW*** FREE Shipping, Save £s",15.02,Brand new Product from musicMagpie. 10m+ Feedbacks,Sold 21 Jul 2025,https://www.ebay.co.uk/itm/304930661833?_skw=New+Rock+Shoes&epid=23057504968&itmmeta=01KK9PGA6B7B62G4RPFTTDJXVN&hash=item46ff48a5c9:g:7HkAAOSw2SlkWmBr&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB9oISTnxNnAV9AHmGQZ4qg58M9Cyb1xoBGZ9xUxWymJj%2BG6%2BYvSCIX2CCXTHki79ai5HmM7Vnaq3wEQDOnC0J0LpgKQPFfLLyomG8AUsZPwPE72y3TJJVK3A20Pm86wMSUIGWpqJT13U0qT4N814DdZp75csNisiGL137m5VBx5Yo7sZLbqA%2Fs3r1tAZu12jDKjm8vjvxpYroTG1ULCmadJ0fjAj%2F2tdAcbZAC7%2FKcAG4cavnqjWF7n8BaBqCbMt8OpK%2FKuV%2BZpFUlw5RHT4XHk56e7KU9aY4E1G5mTy%2FdFQ%3D%3D%7Ctkp%3ABk9SR_qjwbaaZw
Jeff Buckley Grace Black Vinyl New Sealed 2015 88875147701,21.50,Brand new,Sold 9 Mar 2026,https://www.ebay.co.uk/itm/116967028990?_skw=New+Rock+Shoes&epid=4052251798&itmmeta=01KK9PGA6B9PMCWZ1G8CAV4RN6&hash=item1b3bc738fe:g:09gAAeSwjfBpMJIi&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAgo0GlPdWFDNy3KN7L0VKRP5oDSg634xogYCZ%2FkxkqhePtGUhOLpmHsp289aeOpaQqP97l4smDW0paiARnngLfQxK%2BHItyETNthgg6Y6BfMunWCS9NxGiSChWtya%2BwLny3DVvH6seocwu6AAhOhicObnswAnww2SPmnU%2BgC%2Bn7td8bXn4q4S9gV%2FPEz3A545vQubFJAstypy5kFM48WnlimDqhFgkaWJxcLEyYz1s2seVrroGXPwdnaRrxctDMLfY%3D%7Ctkp%3ABk9SR_qjwbaaZw
Lava Rock And Pearl Bracelet Made In Lanzarote,3.31,New (other),Sold 9 Mar 2026,https://www.ebay.co.uk/itm/227178050901?_skw=New+Rock+Shoes&itmmeta=01KK9PGA6BXSYWH9P6BAH1E43X&hash=item34e4ddf555:g:01oAAeSw4dRpa4tQ&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCX%2FMUhTPtEIftAkAmy9ycMPGifLt1UZplp6S2on6PD3yrz8TdR1oMjeJZw4D3IBwtDTtG%2Fk7EtUG6903gLnvDeTUpeCld1CKvmOcCYGEoAmsbQcocsHOQWGIEU6clqNeLSEpvxj3BYeBosV2eOQ79k59BGZNXxxUTyx%2Ff7IVj7LP%2BjguXt0CLc6xoNoxxHCHUxr01lrC6jHR4J1hKQC46lLrDR%2BbJSYX%2B5grY3o08GijaV1xFBh0ztDgghZL1ti5E%3D%7Ctkp%3ABk9SR_qjwbaaZw
