item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|358287769537|626575279786,🔥NEW**ROCK TOWER SHOES Metallic Black Leather Biker Gothic Boots UK 2026 @@UK,Leather,S,55.2,GBP,Free,False,,2026-03-05T06:14:16.000Z,New without box,,lili-2_8,100.0,CN,FIXED_PRICE,https://www.ebay.co.uk/itm/358287769537?_skw=new+rock+boots+gothic+shoes&hash=item536b9d7fc1:g:i3IAAeSwH8ppqR60,2026-03-07T22:13:50.340342,new rock boots gothic shoes,2026-03-07T22:13:50.340342,1,False,
v1|198148167301|497307490252,🔥NEW**ROCK TOWER SHOES Metallic Black Leather Biker Gothic Boots UK 2025,Leather,S,58.58,GBP,£9.59,False,,2026-03-02T06:19:59.000Z,New without box,,huahuaniu_05,0.0,CN,FIXED_PRICE,https://www.ebay.co.uk/itm/198148167301?_skw=new+rock+boots+gothic+shoes&hash=item2e228d1685:g:~zwAAeSwZWRppSwB,2026-03-07T22:13:50.340481,new rock boots gothic shoes,2026-03-07T22:13:50.340481,1,False,
v1|406595376946|676868556812,HOT Unisex Black Leather Rock Shoes Boots Biker Boots Military Gothic 35-43 New,Leather,s,73.49,GBP,Free,False,,2026-01-14T06:57:53.000Z,New without box,,mingnan18,100.0,CN,FIXED_PRICE,https://www.ebay.co.uk/itm/406595376946?_skw=new+rock+boots+gothic+shoes&hash=item5eaaf91732:g:xJcAAOSw5Txn19Ua,2026-03-07T22:13:50.340967,new rock boots gothic shoes,2026-03-07T22:13:50.340967,1,False,
v1|187921877167|0,Punk Gothic Black Rockstar Studded Spikes High Heel Shoes/Boots Brand New,Other,l,145.35,GBP,Free,False,,2026-01-06T16:54:22.000Z,New with box,,provide2,100.0,CN,FIXED_PRICE,https://www.ebay.co.uk/itm/187921877167?_skw=new+rock+boots+gothic+shoes&hash=item2bc10448af:g:rLgAAeSwqOJpIzVT,2026-03-07T22:13:50.341369,new rock boots gothic shoes,2026-03-07T22:13:50.341369,1,False,
