platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
depop,fspill-roa-neal-hiking-boots-shoes-f713,Roa Neal Hiking Boots Shoes,173.95,GBP,,ROA,UK 10,fspill,,https://media-photos.depop.com/b1/5713750/3417910645_42fbf9dcff7a46d89d6fdafd062f2a21/P10.jpg,https://www.depop.com/products/fspill-roa-neal-hiking-boots-shoes-f713/,,2026-03-09T13:15:19.856842+00:00,ROA hiking shoes
depop,connzlad-roa-neal-hiking-shoes-w,Roa Neal Hiking Shoes,81.55,GBP,,ROA,UK 9,connzlad,,https://media-photos.depop.com/b1/5415562/2974466881_1f0f69c437ac4627a90aea67dfd94eb6/P10.jpg,https://www.depop.com/products/connzlad-roa-neal-hiking-shoes-w/,,2026-03-09T13:15:19.856891+00:00,ROA hiking shoes
depop,howardmoon99-roa-katharina-brown-hiking-shoes-5c7b,Roa Katharina Brown Hiking Shoes,210.70,GBP,,ROA,UK 9,howardmoon99,,https://media-photos.depop.com/b1/2761383/3421532171_eef12dc4b5e646d990e4ce6acbd54878/P10.jpg,https://www.depop.com/products/howardmoon99-roa-katharina-brown-hiking-shoes-5c7b/,,2026-03-09T13:15:19.856920+00:00,ROA hiking shoes
