item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|147025757897|0,Frye Women Brown Wyatt Short Leather Harness Boots Sz 8 Western Boho Dark Brown,Leather,m,67.27,GBP,£45.34,False,,2025-12-12T02:39:36.000Z,Pre-owned - Good,,melpedra_0,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/147025757897?_skw=Wyatt+Harness+Boots&hash=item223b6b06c9:g:erAAAeSw8j9pO3-1,2026-03-04T17:30:38.770726,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|397331572724|0,Saint Laurent Wyatt Harness Boots – Smooth Leather EU 40 / US 6.5 YSL  w/Box,Leather,S,543.49,GBP,Free,True,,2025-11-28T13:18:56.000Z,Pre-owned - Good,,takakdt,91.7,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/397331572724?_skw=Wyatt+Harness+Boots&hash=item5c82cea7f4:g:roQAAeSwijNpKaC3,2026-03-04T17:30:38.770734,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|397331065136|0,Men's Yves Saint Laurent Wyatt Harness Boots-Smooth Wine red Leather EU 40/US6.5,Leather,M,588.78,GBP,Free,True,,2025-11-28T10:38:22.000Z,Pre-owned - Good,,takakdt,91.7,JP,FIXED_PRICE,https://www.ebay.co.uk/itm/397331065136?_skw=Wyatt+Harness+Boots&hash=item5c82c6e930:g:sYkAAeSwjVBpKXsh,2026-03-04T17:30:38.770741,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|205872966178|506656059845,Saint Laurent 15FW WYATT Studded Harness Boots 404653 AQS00 1000 33100655,Other,S,244.71,GBP,Free,False,,2025-11-25T09:02:51.000Z,New with tags,,trenbe_official,98.0,KR,FIXED_PRICE,https://www.ebay.co.uk/itm/205872966178?_skw=Wyatt+Harness+Boots&hash=item2feefc2a22:g:~5IAAeSw1aZpJXE4,2026-03-04T17:30:38.770755,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|236486403676|0,Saint Laurent Wyatt Harness Boots 46 Black Suede Jodhpur Men’s EU46 US13,Suede,S,830.96,GBP,£70.29,True,,2025-11-23T20:15:43.000Z,Pre-owned - Excellent,,qdotj,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/236486403676?_skw=Wyatt+Harness+Boots&hash=item370fb0265c:g:qLUAAeSwR7JpI3AH,2026-03-04T17:30:38.770766,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|177603997689|0,NIB Saint Laurent YSL Wyatt Harness Noisette Brown Suede Zip Boots Sz 41 8 $1450,Suede,S,718.66,GBP,£62.57,False,,2025-11-23T04:08:23.000Z,New with box,,msa2189681,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/177603997689?_skw=Wyatt+Harness+Boots&hash=item295a05eff9:g:gDgAAeSw4H9pIodD,2026-03-04T17:30:38.770776,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|376673181804|0,Saint Laurent | Wyatt 40 Harness Boots YSL 39 Nero Black Suede GRAIL NIB NEW ✨,Suede,S,1787.65,GBP,£93.28,True,,2025-11-04T18:42:59.000Z,New with box,,megarareclothing,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/376673181804?_skw=Wyatt+Harness+Boots&hash=item57b378a06c:g:0qIAAeSwMYZpCkhC,2026-03-04T17:30:38.770787,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|277471148387|0,FRYE Wyatt Harness Cowboy Boots Women’s 9.5B Motorcycle Distressed Leather 76805,Leather,s,112.52,GBP,£52.55,True,,2025-10-28T16:51:04.000Z,Pre-owned - Good,,sweethomealaboutique,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/277471148387?_skw=Wyatt+Harness+Boots&hash=item409a91b963:g:D1YAAeSwr7ho-iU7,2026-03-04T17:30:38.770802,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|376634215091|0,Saint Laurent | New Sigaro Wyatt 40 Harness Boots YSL 39 Beige Suede GRAIL NEW ✨,Suede,S,2065.23,GBP,£102.29,True,,2025-10-19T20:34:46.000Z,New with box,,megarareclothing,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/376634215091?_skw=Wyatt+Harness+Boots&hash=item57b1260ab3:g:1LgAAeSwF-xo9UpD,2026-03-04T17:30:38.770813,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|397098645422|0,Saint Laurent inspired boots Sz 9 / 42  40 black leather harness studded Wyatt,Leather,S,89.83,GBP,£44.39,False,,2025-09-27T09:56:06.000Z,New without box,,sekha-639,95.2,US,FIXED_PRICE,https://www.ebay.co.uk/itm/397098645422?_skw=Wyatt+Harness+Boots&hash=item5c74ec77ae:g:ddUAAeSwyqlo17R~,2026-03-04T17:30:38.770820,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
