platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|257404570267|0,ALL SAINTS Leather Jacket Mens XS Red Oxblood  Biker Bomber Celebrity CONROY,219.99,GBP,Pre-owned - Good,,,londonink,GB,,https://www.ebay.co.uk/itm/257404570267?_skw=All+Saints+Leather+Jacket&hash=item3bee820a9b:g:dbUAAeSwVfJo0Qeq,,2026-03-16T23:23:18.074930+00:00,All Saints Leather Jacket
ebay,v1|397710125687|0,ALL SAINTS Suede Leather Bomber Jacket Black STONES - Men’s Size Medium M,59.99,GBP,Pre-owned - Good,,,demari-9612,GB,,https://www.ebay.co.uk/itm/397710125687?_skw=All+Saints+Leather+Jacket&hash=item5c995eea77:g:Vq4AAeSwVZdptEhw,,2026-03-16T23:23:18.074932+00:00,All Saints Leather Jacket
ebay,v1|257404570264|0,ALL SAINTS Leather Jacket Mens XS Black Biker Bomber Celebrity Grail SARLS,299.99,GBP,Pre-owned - Excellent,,,londonink,GB,,https://www.ebay.co.uk/itm/257404570264?_skw=All+Saints+Leather+Jacket&hash=item3bee820a98:g:dAUAAOSw5MBljK8L,,2026-03-16T23:23:18.074935+00:00,All Saints Leather Jacket
ebay,v1|257404570254|0,ALL SAINTS Leather Jacket Mens SMALL Grey Biker Bomber Celebrity Grail NIKO,99.99,GBP,Pre-owned - Excellent,,,londonink,GB,,https://www.ebay.co.uk/itm/257404570254?_skw=All+Saints+Leather+Jacket&hash=item3bee820a8e:g:DhUAAeSwT45oyaQI,,2026-03-16T23:23:18.074938+00:00,All Saints Leather Jacket
ebay,v1|236685727310|0,AllSaints Hyde Leather Biker Jacket In Green Size UK 12,187.90,GBP,New without tags,,,wardrobepieces8,GB,,https://www.ebay.co.uk/itm/236685727310?_skw=All+Saints+Leather+Jacket&hash=item371b91964e:g:KEwAAeSwCONptDRX,,2026-03-16T23:23:18.074941+00:00,All Saints Leather Jacket
ebay,v1|389741975688|0,All Saints Mens Leather  Jacket XL,197.26,GBP,Pre-owned - Excellent,,,violets2018,GB,,https://www.ebay.co.uk/itm/389741975688?_skw=All+Saints+Leather+Jacket&hash=item5abe6e9888:g:FikAAeSwxO5ptDIJ,,2026-03-16T23:23:18.074944+00:00,All Saints Leather Jacket
ebay,v1|227254611307|0,AllSaints Leather Jacket Prescott Biker Black UK 10 Zip Cuffs,108.99,GBP,Pre-owned - Excellent,,,phillymac999c1k2,GB,,https://www.ebay.co.uk/itm/227254611307?_skw=All+Saints+Leather+Jacket&hash=item34e96e2d6b:g:ieEAAeSw3RlptC0U,,2026-03-16T23:23:18.074949+00:00,All Saints Leather Jacket
ebay,v1|257404570263|0,ALL SAINTS Leather Jacket Mens SMALL Black S Biker Bomber Celebrity Grail GIBSON,99.99,GBP,Pre-owned - Excellent,,,londonink,GB,,https://www.ebay.co.uk/itm/257404570263?_skw=All+Saints+Leather+Jacket&hash=item3bee820a97:g:9mUAAOSwDzBnjmxz,,2026-03-16T23:23:18.074952+00:00,All Saints Leather Jacket
ebay,v1|257404570256|0,ALL SAINTS Leather Jacket Mens SMALL Black Biker Bomber Oasis Celebrity BLENHAM,249.99,GBP,Pre-owned - Good,,,londonink,GB,,https://www.ebay.co.uk/itm/257404570256?_skw=All+Saints+Leather+Jacket&hash=item3bee820a90:g:RJgAAeSwZDxoiUp0,,2026-03-16T23:23:18.074954+00:00,All Saints Leather Jacket
ebay,v1|287200895103|0,AllSaints Women's Leather Biker Jacket Size 6 UK/4 EU/32 US,36.06,GBP,Pre-owned - Excellent,,,char723078,GB,,https://www.ebay.co.uk/itm/287200895103?_skw=All+Saints+Leather+Jacket&hash=item42de81e07f:g:gIMAAeSwPqFptByS,,2026-03-16T23:23:18.074957+00:00,All Saints Leather Jacket
