title,model,price,shipping,date_sold,days_ago,condition,url
NEW ROCK M.8366 S1 Black - Punk Gothic Biker Boots - Womens,Biker,£238.50,Free delivery,6 Mar 2026,1,Brand new,https://www.ebay.co.uk/itm/326061956284?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN50EDDEJSSNV3VMFDY&hash=item4beace9cbc:g:qigAAOSwzgRW1zbd&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBHKkbXXMOdAgkWeA1b9%2BfWNLEfUyzJ3UH%2BlR71AdLxAq4nKKkuHYgJk3EnOmLi375hQ6tiH0mTD5na%2FfgKvsjgNJTE%2BfvwEy6GyM7gEPYHAjQ7QV3WlWI6PBrAdY%2B76dE6QqYskn6JdMRmOyDhfIKvJ2HRrgvO7jnXMk2T86L%2FwCLPV1bp07mVOa67yqWa6DhFZNJXr%2BiIMbcJDpbrjvNHHcJubt%2BFsL4SJBONOBUroLJY%2BvV2lDO3TW3QjShbyyK2YOq5ateQMwticXnKR5myRYcwztZ9AU%2Fir0rL1VMmHA%3D%3D%7Ctkp%3ABk9SR_jK7qWZZw
Dr. Martens TARIK AJAX UK 11 Tough Utility Boots Black Docs Combat Work RRP £199,,£94.30,+£3.38 delivery,6 Mar 2026,1,Brand new ·,https://www.ebay.co.uk/itm/227227002722?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5THWP7VRPZJM6STAG&hash=item34e7c8e762:g:6m0AAeSwUxNplyZO&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDfKUtC55VQQzqTjV8YdfteuTdRAzIjkELrjwGCCjO%2FKUp9t2qHISfvUjlJimt8%2FLKAgqVA3CK8INzKxUomSjQZ9%2FD6sMfbYtkfsLIMIdzY%2BeXPE%2Bu3fAr8EXfikUKUt3MLT8kiriCu0Ujkdx8qiM7zztRRwqtDLD6F9IA%2FGxPggR%2Fok%2BPipaOeIKgE8cJRYJ8KhSKjCe58dcXSUwyK0CTHh1u4iCj2Ukn3XZoaLaTZ40Ucinj3py4q2OUMiX%2FKDVhdSqQJCQYMl2eTZL6g9S%2BgD%2FrocBi4YrcGzl3Hpgv71A%3D%3D%7Ctkp%3ABk9SR_jK7qWZZw
Cipriata Ladies Floral Boots Lace-Up Combat Vintage Festival Womens Shoes Girls,,£23.70,Free delivery,6 Mar 2026,1,Brand new ·,https://www.ebay.co.uk/itm/317032154840?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5GKEKH8SXH6ZAWM80&hash=item49d096c6d8:g:EyMAAeSwkp9pgJzw&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAJQCO78bGv03qLnc2ghCYpFdjJ5VzsZ3P1GcL8zwbjpb0nlJEmCoat0RKKJHo3ZAJcfzGYsv8yTScI%2BIUAjj4RjHzU7B%2F2gUtfoed5oqqjbPA%2BcbZAjZsYWrSwIBSnZ55b%2F776fzebwgXAsadZLj0yKV4I%2FLx7ys5%2BnpQPKDQ2CqR7fnRhTA5hHuK594SAla2JQFCkf49OWUb74abYji4y0Dq3SGkO6NTdx3dqujG187yzrUGHEFUooF8bQx40rR4%3D%7Ctkp%3ABk9SR_jK7qWZZw
DOC MARTENS BOOTS PUNK ROCK GOTH RARE QUALITY ENAMEL COLLECTORS BADGE,,£4.69,+£1.70 delivery,6 Mar 2026,1,Brand new,https://www.ebay.co.uk/itm/287172202042?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5YPM13S7WJV4JSA4F&hash=item42dccc0e3a:g:KJEAAOSwV0Jk~2nx&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAH5RAEVgrsQ5r%2Bil8VRAFsT%2BL9KhGbaUy8ItSm5wngFKcyR80zBG5Mlzm7KNPXnjmPrP6LfLmPaRnGYpgxnQ0yL3SF75smZ9UxlfO7KxJVwf4r36wHHUnVl9vA1dJRxzGP%2BbkypvtJAQ6bjZGm6KbvlEYtFbh3lHPWGCF2dLfgzN3gtirAonpM3oBRzoVj%2FrxLOSZYwAm4vtNw%2FdlfgErWGm69hurRmCY5dwiAW9gVZpIPZ%2BB1QqauU7oBt4e3jUw%3D%7Ctkp%3ABk9SR_jK7qWZZw
NEW**ROCK TOWER SHOES Metallic Black Leather Biker Gothic Boots UK,Leather,£55.99,+£1.50 delivery,6 Mar 2026,1,New (other) ·,https://www.ebay.co.uk/itm/388335223296?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5SCCNS5ZTY2F5C2FS&hash=item5a6a954200:g:KjkAAOSws4Jn5jvX&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAhWo7umEUtYIbdw01bEPFYpt11ZFKUMyTCTPxmITXOUqzUdj8yTeBPdqZtw%2BwPDIRmwAhR2zcjwjZfrHs5KHwP0W6njg2vwAn%2FQy68lhqORJfk0%2BfYmgF826Nt%2F5%2Buc5XiEd%2BNI%2FxInGf9OunWDzx4XSN1O%2Bm0NmjJ3DxJNzlQNakB1B9edMn3yRrET6V5oOpCXpxnHxNLKx4RCSEGzWqJaZ%2FRcO11eUDkfpVRbr7WOwinOK2Zco%2FeO1RnKFVhvfxNIPbLyR7cAZyqGnOAZJVKQD3TL3Ip1hAV3jadk%2BkXbw%3D%3D%7Ctkp%3ABk9SR_jK7qWZZw
Gorgeous Black Classic Metal Heel Tall New Rock Boots Size 6 Goth Platform,,£104.70,+£5.15 delivery,6 Mar 2026,1,Pre-owned ·,https://www.ebay.co.uk/itm/117060566571?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5V9F5D951YRPNPJH7&hash=item1b415a7e2b:g:D1EAAeSwu6BpocfR&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD%2FYpVjTD9iAffTuqKsZA2hUJNQbPPHee4uSdn0DTHnXjgyjRYVhdCG7ZlvaAjrHooAXjJDuQYcrx4%2BufUxCplM21v9Q0ILAxVywpMU3oBCCS%2FEnl36lxnECFH6K0UNHpPpqcLs3xcp%2BqNAmy3ob1K2gMrF0QN4iYR5zTZfDMIiZT9grcxThfmQzDRDG04NzOIb7dFkLH27JnyWP6wst0TPq8791LNO5eob2b%2Fbp1ScvTQPzQVD260oaMX7puwWYssnFZwjUVqXEmalyWWO%2BVa7NYykd9z4UkTQu66LSIb92w%3D%3D%7Ctkp%3ABk9SR_jK7qWZZw
BN Ladies Size 6 New Look Black Biker Boots,Biker,£19.89,+£4.06 delivery,5 Mar 2026,2,New (other) ·,https://www.ebay.co.uk/itm/306712241313?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5236ZYWM8GDSJRZP0&hash=item47697964a1:g:klQAAeSwbSxpaNfe&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDlPP9tpnOJdtGLD%2BtohQ5fWiw07JO30Y%2FMdB9aRJZ4OfDIUCAMk44bb7%2Fyt3lHPdMrPOTsyMTUzbHUh1ecskeOWpOMvHJTjkx6H5lVJFIRkZUG40J2eER84Gnm3F8hR2UKVlvy00g5x%2B8iml1aWdF4AMXbIaoNDbK%2BQU2ZgRGXp6W32O0QPwpN86RyFqlBIMAREuQqYwveD0w3C66jv7smrqb4Ei3ZxdplIh6ALpAuucOSjlKlwNyjv4fm9KqkAys%3D%7Ctkp%3ABk9SR_jK7qWZZw
New Rock Reactor Half Boots Unisex Platform Boots in Black,,£238.49,delivery in 1-2 days,5 Mar 2026,2,Brand new ·,https://www.ebay.co.uk/itm/165937175134?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5R1SZXZJW4WTFVXPG&hash=item26a2a05a5e:g:eywAAOSwYINj6lEi&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xC1DdynOUgKSpF2T8Kf2JEP%2FSRx8rylRSrAFinibaW7oJwzOf3JLnJ%2FIg6ThbSaziH4NnXEBkptEuAMr3QWZvBwjt%2BftjiWLRG7UrzFH8l%2FU2L82UDRIIk7R1AJRkmfvMlqllNEoWUApyTx%2FSs0bM4AinAj4OSsF3OhbWoHG2K%2BPMACt9kHYqmxX5%2BNFrNeYtmRsNxN%2B4FgNRtwOVyBlHPg5aqh0AeI679DMK61ZU4fD3eH3btlGiSnhatJw9CiRvU%3D%7Ctkp%3ABk9SR_jK7qWZZw
New Rock m.272 Black Leather Chunky Heel Mid Calf Punk Goth Boots Uk 4 Eu 37,Leather,£169.99,Free delivery,5 Mar 2026,2,Pre-owned ·,https://www.ebay.co.uk/itm/306777219712?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN5T3BND5FFBC49P04J&hash=item476d58e280:g:O74AAeSw~s9pb0s~&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBzP%2BOcLIQj6lLCCNQCxZWB%2FAbs%2B2Da5CX2J6gR37qa1BwDypziizIgt4sfzXLwuQUbNUZ5MEHweZCyMMjMqHoRaOPhZp6GhqmcuiXsQpeCA0fjWzQ0x9H7yMMfK52huSY0uI7r%2Bir%2FVzIsLLqguuccxjDoe9d6r0r%2FgVzVcjZnLPCMRiGzBK3mHhH1c9KNmr4OqfTczBNq0FrMH5Zb9Vb4%2BbOUz%2BMy842aetWFcz6vfbeYIJkhKrEWaaOySV3AcHvqdQZIwLi2voaLuZcoHIlVvs6CpeF%2Fj6AtG5JVy%2BTqiQ%3D%3D%7Ctkp%3ABk9SR_jK7qWZZw
Vintage New Rock Reactor Boots 6 Size 39/40 Goth Emo Punk Steampunk,,£78.65,+£6.65 delivery,5 Mar 2026,2,Pre-owned ·,https://www.ebay.co.uk/itm/168125255254?_skw=NEW+ROCK+BOOTS+PUNK&itmmeta=01KK55VMN6P9N6E18PX7E5JV15&hash=item27250bce56:g:NhkAAeSwjoxpflEn&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAc8oF1GUyd2jF2rNdtZnh%2BjLQ51rLPKo4VfXWtCq9HEHslE%2FHkrYAqswpF9%2FrxM2LYgtD3222TmGR%2FxpglMNo9KifXot2pEAgIBq8BU%2F9S2aSEE%2FKWtoRhlZXyy%2B2RVR%2Bm0564dTIRtTmnu7RQaq9HWQ11aa9UnJJBUj9jxn8fk0veVUNsE%2FSivr90etewgyubIFkS%2B5OxoV9YpYwIAaNnvZd5beHCNoj15Uhx4%2FByU5Yhj2GH4sOss6CDtvag33OdKIWHEkkk7DdLKy4BBq3sSo71pB128d1aYNYsBAeVYQ%3D%3D%7Ctkp%3ABk9SR_jK7qWZZw
