title,model,price,shipping,date_sold,days_ago,condition,url
Dolce & Gabbana T-Shirt UK 14 /Eur 42 White Print Designer Womens,,£46.00,+£4.45 delivery,30 Dec 2025,64,New (other) ·,https://www.ebay.co.uk/itm/306672476735?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4K4MKCRC6JYPE25Z3&hash=item47671aa23f:g:XIgAAeSwN4RpSnLL&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBNKN1CEH%2FkG87WnO%2B9MZSdnGmJgMt4CK32wiSYvjq%2Bf5OHKlJ%2FhjhDG2gNlEUmHS1iSeYmV2ePap1nmb%2FShkMqvdPDoefiUfy5no8x6okU5Ug2p7ZpFTHuUMEqz3Z3ExWvECEri2IEPQSa2UqAXI3lY%2FNsX55rG8dvpeNWtl%2BpxI3sKHeHwcyoCc3M6wC%2FWMXKmDwqY0iALHvlXqh3SJTVBxo9XArsFnmZrPFwdJoOpdQkjQ7sokEI3jwj%2FtN1fYF1fvI73ZtQKh7H3qf6J3LzQvhxxWysy7RumZHacme0Uzj9smsCUU8J%2BJbqwJGgrrY%3D%7Ctkp%3ABk9SR76okaqXZw
DOLCE & GABBANA WHITE CRYSTAL AND COTTON SHIRT IT 40 UK 8,,£276.00,Free delivery,14 Dec 2025,80,Pre-owned ·,https://www.ebay.co.uk/itm/256580530748?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4VBHEE34HNNV4T4B8&hash=item3bbd64323c:g:EFEAAOSwua5mn4ne&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xD2GduasrcvI7O6IhzEYUpDerGFCSFrN4yXw0TYv7B4VLILF%2F0Ny43yd4eoi8ps0hB7A1sV1BLk7qYvG8bTUj8QR2DKLqx12LDbLemDeEklIMZm4r9D87E85oWfU%2BCOcGgSpIE5J%2FXmRBP9rC8i9h5vu4cwoOJSg8Vs1dBc%2FDiix7rxhRjNoGvZH23WonB5vEe2ZvTSSjmY4uLR3i%2FeCSaIJbzArtG2QViJKtHkrxPQkLNQpBM6mNpZAVyBittmBbnbrT3w2CFhghw0uIaWRLXcu5e%2B8o4hGqFU6ez4EhZttLuax2WNBuiPXYMkjdrrCw4%3D%7Ctkp%3ABk9SR76okaqXZw
Skims X Dolce & Gabbana Women’s Leopard Tank Top T Shirt Tee,,£89.10,+£2.70 delivery,13 Dec 2025,81,New (other) ·,https://www.ebay.co.uk/itm/127109354954?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4PNK8BREBVVH2AKNN&hash=item1d984ed5ca:g:XmkAAeSwokNoIzCq&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xCFEXrmSxCIcp7zF3CETho1nJwz23qMBxiKXFFkK7lCiUC0jzD7jupjgBM85wTf8GYSkH%2FHpDZg01atqsL3SDLZV58gH6Y2qqVYMtr1FzmY%2B%2FcwMlL8KTuU35CEjqJJQz0j0nN1SDuc9AV%2BozvNc8iIr1dyUGehDq21WT7be8EuHzS5sQ5KKy7nET9nLj3DEKIFo5Zi0JXd0VX4gXNCqxBGempXQMlKrEiFF9003cuMvHtbWA2DaIxxX%2FxtbvJ0ysi%2BRaYoc7fDqZfzFsvb1Evm%7Ctkp%3ABk9SR76okaqXZw
Womens Dolce & Gabbana Taupe Short Sleeve T-Shirt L CHARITY SALE,,£23.00,+£3.00 delivery,10 Dec 2025,84,Pre-owned ·,https://www.ebay.co.uk/itm/285443350687?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG4HXAF5EZGZBSAKV4Z&hash=item4275bfe09f:g:kDUAAOSw-lxk5icG&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBG5Sj%2Bo6hj7oVbZDDh4kFw1XWrYPApw%2F5CdRfbvWVUii518O4dZ5gzlYF4UzhEpI5trcRJpActEzwMtamnfwwn7yusOxxlFDgi49JHziFeWyXMXgfNnVCtNkEuHNW4pez0SKAxRtmpEbvdRZweszoMV5cTCOVFbySsHZWQFiB3qZXvjkHujplUz98PGakxBI67hjj7OvZNRRAVhdw3c%2F40AThSK6%2FPQnj3S6ws7G9ysq%2FBjRN8gqpUDYXL%2FR9m3f%2B1HQUrFitpg%2FylQKzp1WVm%7Ctkp%3ABk9SR76okaqXZw
Pink Dolce & Gabbana Logo T-Shirt – Casual Statement Tee,,£19.36,Free delivery,3 Mar 2026,1,Brand new ·,https://www.ebay.co.uk/itm/358281175081?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG5C1PJN2HE072MNVX6&hash=item536b38e029:g:728AAeSwfUJpps6t&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDT%2FrdtxoX0KOfGoAPMAVrvh3IIeEXgXvmKjtz4BQxBKDRaN0VO0L40Mh7snNqdNRj5EbpiWE10JhyOgn3QDhjAwwOEtf5wgm7oSEGSoWgTnWocUvRJAb6vCUSLbm9sSegYCMDnYuk7pr%2BT2%2FNlEvQ5r9eYUar5KQetqhNpWDWT1XEe6P2T7s4Nz0rMWgyBfawm1lIs724OUCaSgCuXCjhizUnrcqH2pkeuieP%2BoX7abB13JYLdVYVrGOjwuyuKloyyRzs7pO8Geu33qQW2wcbK%7Ctkp%3ABk9SR76okaqXZw
"Dolce and Gabbana Crown Bee T Shirt, Mens T Shirt Size Small, Black, New",,£200.00,Free delivery,2 Feb 2026,30,Brand new ·,https://www.ebay.co.uk/itm/306560518781?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG5C42EJTK2XP8VCFRR&hash=item47606e4a7d:g:ItEAAeSwuDRoiJWe&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAICWC%2BxFizlEcKwq0MxrGpAOG7BGj8OaGS0lMcbq4NwGRTqYRAnsRHv1wFLYSLMONGYTM1AmBPFBujWdXlOXPBNWPP09h6l4pazwlcoNI6%2B%2Fg%2BxLOqBljRw9%2FbDUBof7qzcbFmNklFo%2Bpfw0rvrQg8CdLB%2ByozDhQfzDZpeHhAwc2B40pX7EG79LvKPdnS98E5M72Qu352GuaXPQFwkNabZpFyqm4CDVGURxDZECQ6EavZa1hJmi2j%2BzmperRxEsJdnzvCjtPDQgXH7dO8q08m%7Ctkp%3ABk9SR76okaqXZw
Dolce & Gabbana T Shirt M,,£26.70,+£2.94 delivery,21 Feb 2026,11,Pre-owned ·,https://www.ebay.co.uk/itm/267528618635?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG5BN0PTWNEJK86VF68&hash=item3e49f2c28b:g:jucAAeSwj59pU-uI&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xA9U%2BsLijatstct7Yk9a%2By8nJ6RAgKG1RZwY3xs0rIEf51ckLeN1h2fSDpAHQrkU5KPiJW4Npw6J6PRbdkNT%2BFF2hpbZrfrSnot18%2BskTgCTZMshkizYz2dj1MjYUtzz5wmqWqZ6%2B884IuoMDDjs54xcy9Xk%2FAMB8zvqIWfhR5de2fplcwUZVtHw3chl6wnp63Aftk3noU686N45xdVr5HYWORYjismORfjWxLP84obKzYbeqZ7TlWFiyrEJFOOcbY%2FkRPAlMIOXeu%2F3YSCOQLr%7Ctkp%3ABk9SR76okaqXZw
New Ladies Dolce & Gabbana Leopard Crop Top T-Shirt Size 12,,£42.29,+£2.94 delivery,24 Feb 2026,8,Brand new ·,https://www.ebay.co.uk/itm/177803781430?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG5Q1RZ9Y2BR4GAAN3J&hash=item2965ee6536:g:lPYAAeSwvOBpdJn3&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xA%2B0De0CLKtYp5ECl2Y1B%2FiE8OTq75KxADX9JsVE0E1MMOlWLIHaGM6yfgDnIFJDs2WdX6Fiwh0YZjOycMqkePyt6xOfkg%2FGDqEIARo9NA8%2BTulfmuLbgacrDyk04LPiX%2BBv0Xlwn7E6x%2BrQeVIQmVNcs%2FozoDN2dDuP%2F%2BocymlMu0cavCbZj9ZmvKNarck59EE9nKFsRdGc8QdTQEroV4Ra6Oe1EFjDDPUZ9nfcDcxWT2P0NuOtxsEjI8%2F%2Ba0sW02z%2Fe0LMqYZUF0f0xc0W1fWBkjkWhg2f0qeaFfibz4DTP6o6inNwgAuMPGSWphR5K0%3D%7Ctkp%3ABk9SR76okaqXZw
Dolce & Gabbana woman vintage t-shirt size xs excellent condition,,£57.90,+£2.94 delivery,6 Dec 2025,88,Pre-owned ·,https://www.ebay.co.uk/itm/286828014305?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG5Q1JVE66WQMHZ5KRP&hash=item42c8482ae1:g:2UIAAeSw8MhozIqg&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBgoAL0AwL9PzVUpnYa%2FsAQlfeJ9ugGRJ9BWmnaOCE%2BSAJ83v8OE6KaKSEju3T8ZmtzMfKU0cCPyrFuF101JNjVqn9jUnU%2B9VGej57h3xvY7tW9NF%2BtoNn0aMxAJrfq5jVcu%2FTBbmJ1cizJsZvpHTh5vJqIzbsvKMZ%2BcYSpPkWymxLTjyPRS%2BqPO9baN0ceJNVGfi4MLeCp8Qq0Je4YWGJEVNzZAtf%2BLPxRzdCkPt9An562BdlckACGgnW79ReBqglSVKFzdKsBgeEGTr6HVLfn%7Ctkp%3ABk9SR8CokaqXZw
Dolce & Gabbana Dripping Logo T-Shirt in White Cotton,,£102.00,Free delivery,19 Dec 2025,75,Pre-owned ·,https://www.ebay.co.uk/itm/157465618021?_skw=dolce+and+gabbana+t+shirt+womens&itmmeta=01KJXA4AG5VWAFWNA1J9XQTBFX&hash=item24a9aea665:g:dXcAAeSwqlBpF4vg&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDaz4URg0lu4nvy0hLbAi8sxlEVfyp2XF%2FCXjXQTQrok83%2FDi9ahC2X1DDG%2BqsKXvtXjxZem2hYEK2syh2axwOJqulALZH%2FojVifW2H3ZVkdCH6zhOU4gsZEbTH3LSJFXLze3E3r8iZDi7ErohfaY4VY9rT%2FPtYDgauL%2FY%2Bx3TWOkqZ6Bfa3D2%2FzUBbqMIrFooy44BZ0%2FhGzTIlZ1qDRUSYva16J1z6jDcb7kVWeXOXTbUS7FP5ONrIk4K9W%2FuM%2B4TsALm36URBeplRP8Mx2AXt%7Ctkp%3ABk9SR8CokaqXZw
