platform,item_id,title,price,currency,condition,brand,size,seller,location,image_url,url,listed_at,fetched_at,search_query
ebay,v1|177910932447|0,Alexander McQueen Men's Scarf Grey Graphic 100% Wool Scarf,74.00,GBP,Pre-owned - Good,,,thrift-plus,GB,,https://www.ebay.co.uk/itm/177910932447?_skw=Alexander+Mcqueen+Scarf&hash=item296c5163df:g:leoAAeSw7WVppKo2,,2026-03-09T13:14:57.685258+00:00,Alexander Mcqueen Scarf
ebay,v1|177910038071|0,Authentic Alexander McQueen Silk Scarf Wrap Bracelet Bag Charm Beige Skull,179.99,GBP,Pre-owned - Good,,,buy.my.designer.closet,GB,,https://www.ebay.co.uk/itm/177910038071?_skw=Alexander+Mcqueen+Scarf&hash=item296c43be37:g:ciwAAeSwmG1ppFjw,,2026-03-09T13:14:57.685263+00:00,Alexander Mcqueen Scarf
ebay,v1|188108872407|0,Alexander McQueen Vintage Scull Scarf,83.90,GBP,Pre-owned - Excellent,,,michail4444,GB,,https://www.ebay.co.uk/itm/188108872407?_skw=Alexander+Mcqueen+Scarf&hash=item2bcc299ad7:g:mxIAAeSwgHVppCul,,2026-03-09T13:14:57.685269+00:00,Alexander Mcqueen Scarf
ebay,v1|366235332342|0,Authentic Vintage Alexander McQueen Silk Skull Damask Scarf Black & Silver Mint,409.60,GBP,New without tags,,,earlgrey2nd,GB,,https://www.ebay.co.uk/itm/366235332342?_skw=Alexander+Mcqueen+Scarf&hash=item554553aef6:g:QyEAAeSwWt5poywn,,2026-03-09T13:14:57.685271+00:00,Alexander Mcqueen Scarf
ebay,v1|366235325193|0,Authentic Vintage Alexander McQueen 100% Silk Skull Damask Fringe Scarf - Mint,363.70,GBP,New without tags,,,earlgrey2nd,GB,,https://www.ebay.co.uk/itm/366235325193?_skw=Alexander+Mcqueen+Scarf&hash=item5545539309:g:OzwAAeSw2dxpoypB,,2026-03-09T13:14:57.685274+00:00,Alexander Mcqueen Scarf
ebay,v1|397660160942|0,Alexander McQueen Women's Vintage Silk Scarf Made In Italy. Pink And Cream,73.50,GBP,Pre-owned - Good,,,mabur_6222,GB,,https://www.ebay.co.uk/itm/397660160942?_skw=Alexander+Mcqueen+Scarf&hash=item5c966483ae:g:CRoAAeSwpvlpotu7,,2026-03-09T13:14:57.685277+00:00,Alexander Mcqueen Scarf
ebay,v1|366232793743|0,Alexander McQueen Silk Grey Pink Scull Print Pattern Scarf & Liberty Box,175.00,GBP,New with tags,,,southernhospicegroup,GB,,https://www.ebay.co.uk/itm/366232793743?_skw=Alexander+Mcqueen+Scarf&hash=item55452cf28f:g:d0kAAeSwv6lpoaxG,,2026-03-09T13:14:57.685279+00:00,Alexander Mcqueen Scarf
ebay,v1|127707081471|0,Alexander McQueen Skull Scarf red silk rolled edges Made In Italy with Tags,149.00,GBP,New with tags,,,kaz-sandvika,GB,,https://www.ebay.co.uk/itm/127707081471?_skw=Alexander+Mcqueen+Scarf&hash=item1dbbef6aff:g:IAAAAeSw~ZdpoMsp,,2026-03-09T13:14:57.685283+00:00,Alexander Mcqueen Scarf
ebay,v1|188096656397|0,Alexander McQueen Men's Scarf Cream Graphic 100% Wool Scarf,102.00,GBP,Pre-owned - Good,,,thrift-plus,GB,,https://www.ebay.co.uk/itm/188096656397?_skw=Alexander+Mcqueen+Scarf&hash=item2bcb6f340d:g:tYcAAeSwuHtpn9Ri,,2026-03-09T13:14:57.685288+00:00,Alexander Mcqueen Scarf
ebay,v1|287159918895|0,NEW Alexander McQueen Scarf Aquatic Skull Scarf in Red,215.00,GBP,New with tags,,,marusia2023,GB,,https://www.ebay.co.uk/itm/287159918895?_skw=Alexander+Mcqueen+Scarf&hash=item42dc10a12f:g:qoUAAOSw6YtZPt4a,,2026-03-09T13:14:57.685291+00:00,Alexander Mcqueen Scarf
ebay,v1|257373747559|0,Alexander McQueen Silk Skull Scarf 60 x 60 Cm,156.70,GBP,New with tags,,,london_fine_closet,GB,,https://www.ebay.co.uk/itm/257373747559?_skw=Alexander+Mcqueen+Scarf&hash=item3becabb967:g:X-UAAeSwBS5pXrbr,,2026-03-09T13:14:57.685294+00:00,Alexander Mcqueen Scarf
ebay,v1|236649549922|0,ALEXANDER McQUEEN IVORY FIL COUPÉ CHIFFON SCARF RETAIL £420 BNWT,245.00,GBP,New with tags,,,smartdesignershopper,GB,,https://www.ebay.co.uk/itm/236649549922?_skw=Alexander+Mcqueen+Scarf&hash=item3719699062:g:vsUAAOSwZQplN7GH,,2026-03-09T13:14:57.685297+00:00,Alexander Mcqueen Scarf
