item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|397686191842|0,NEW ROCK BOOTS SIZE UK 6 - BLACK + PURPLE - FLAMES GOTH STEAM PUNK GRUNGE,Other,S,89.1,GBP,£6.65,False,2026-03-14T16:19:05.000Z,2026-03-07T16:19:05.000Z,Pre-owned - Good,,ksev2545,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/397686191842?_skw=NEW+ROCK+BOOTS+PUNK&hash=item5c97f1b6e2:g:AK4AAeSwGmhprE4k,2026-03-07T22:15:33.651254,NEW ROCK BOOTS PUNK,2026-03-07T22:15:58.952608,2,False,
v1|137104130736|0,New Rock Malicia Collection Size 7 Black And Red Flame Boots Rock Punk Biker,Leather,M,72.45,GBP,£3.71,True,,2026-03-07T13:58:30.000Z,Pre-owned - Good,,haykiz,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/137104130736?_skw=NEW+ROCK+BOOTS+PUNK&hash=item1fec0b02b0:g:T7YAAeSw779prC3T,2026-03-07T22:15:33.651317,NEW ROCK BOOTS PUNK,2026-03-07T22:15:58.952608,2,False,
v1|287184429576|0,New Rock Boots Purple Metallic Size UK 5 Trail Womens Eu 38 Biker Punk Goth Rare,Leather,s,85.0,GBP,£5.64,False,,2026-03-06T18:44:28.000Z,Pre-owned - Good,,blondbear73,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/287184429576?_skw=NEW+ROCK+BOOTS+PUNK&hash=item42dd86a208:g:C0oAAeSwW5RpqyBv,2026-03-07T22:15:33.651502,NEW ROCK BOOTS PUNK,2026-03-07T22:15:58.952608,2,False,
v1|236672261536|0,NEW ROCK TR003-S1 Ladies Metallic Black Leather Biker Heel Goth Punk Shoes Boots,Leather,S,135.9,GBP,£4.26,True,,2026-03-06T14:11:04.000Z,Pre-owned - Excellent,,anikarann,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/236672261536?_skw=NEW+ROCK+BOOTS+PUNK&hash=item371ac41da0:g:R4wAAeSwZAFpquAf,2026-03-07T22:15:33.651572,NEW ROCK BOOTS PUNK,2026-03-07T22:15:58.952608,2,False,
v1|177924903603|0,New Rock Leather Ankle Boots Eu Size 41 ANKLE BOOT PUNK M-PUNK068-C10,Leather,L,95.34,GBP,£3.38,False,2026-03-12T20:36:05.000Z,2026-03-05T20:36:05.000Z,New without box,,yappnproductions,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/177924903603?_skw=NEW+ROCK+BOOTS+PUNK&hash=item296d2692b3:g:Wo8AAeSwqkdpqehU,2026-03-07T22:15:33.651689,NEW ROCK BOOTS PUNK,2026-03-07T22:15:58.952608,2,False,
v1|168208338165|0,New Rock 391-S1 Unisex Black Boots Metallic Reactor Goth Punk Rock Biker Boots,Leather,S,156.56,GBP,£35.79,True,,2026-03-05T19:51:37.000Z,Pre-owned - Excellent,,jeffreywaynetaylor,96.6,US,FIXED_PRICE,https://www.ebay.co.uk/itm/168208338165?_skw=NEW+ROCK+BOOTS+PUNK&hash=item2729ff8cf5:g:I0gAAeSwcrlpqd0B,2026-03-07T22:15:33.651721,NEW ROCK BOOTS PUNK,2026-03-07T22:15:58.952608,2,False,
